,brand,title,price
0,PROVOGUE,Large 35 L Laptop Backpack Vintage 15.6 inch Anti-Theft Backpack with USB Charging and Internal organiser Executive Business Office Casual Waterproof Laptop/Office/School/College/Business Bag/Travel Backpack,"₹1,099"
1,perfect leather,Medium 25 L Laptop Backpack Trendy Backpack College school Trevel Causal Laptop carrying 1680 Men Bags backpack 25 L,₹375
2,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹799
3,MTROCRAFT,Medium 30 L Laptop Backpack Walker Office Backpack,₹540
4,METRONAUT,Medium 30 L Laptop Backpack Khadi Textured Hi storage,₹474
5,MTROCRAFT,Large 40 L Laptop Backpack Walker Backapck Red,₹540
6,METRONAUT,Medium 30 L Laptop Backpack Khadi Textured Hi storage,₹474
7,Gear,Medium 27 L Backpack ECO 6 Backpack with Raincover,₹849
8,urban carrier,Large 45 L Laptop Backpack Medium 45 Liters Laptop Backpack Multicolor Grey White Laptop Backpack Unisex College & School Bags,₹549
9,RUGZAK,Large 35 L Laptop Backpack Waterproof expandable laptop bags (Black),₹472
10,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹799
11,rightchoice,Small 20 L Backpack (2235) BLACK SKY BLUE WHITE stylish tuff quality college school casual bag boy & girl,₹360
12,Arctic fox,Small 15 L Backpack Black Drawstring Bag,₹167
13,ADAMSON,"Medium 22 L Laptop Backpack Casual college, tution bag",₹299
14,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹799
15,HEROZ,Large 45 L Laptop Backpack HAMMER,"₹1,345"
16,Gearcop,Medium 30 L Laptop Backpack GRCPB0071,₹399
17,RUGZAK,Large 35 L Laptop Backpack Waterproof expandable laptop bags (Grey),₹472
18,MTROCRAFT,Medium 30 L Laptop Backpack Walker Office Backpack,₹540
19,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹756
20,NorthZone,Large 32 L Laptop Backpack orthzone Unisex 15.6 inch 25 L Casual Waterproof Laptop/Travel/Office/School/College/Business Bag/Backpack (Navy blue),₹569
21,WESLEY,Large 45 L Laptop Backpack Unisex Travel hiking laptop bag fits upto 17.3 inch with Raincover and internal organiser backpack Rucksack College bag,₹798
22,NorthZone,Medium 25 L Laptop Backpack 17 inch,₹499
23,Gear,Small 20 L Laptop Backpack PU LAPTOP BACKPACK,"₹1,123"
